AbilityId,AbilityName,AbilityDescription
1,Adaptability,Powers up moves of the same type as the Pokémon.
2,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.
3,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.
4,Air Lock,Eliminates the effects of weather.
5,Analytic,Boosts move power when the Pokémon moves last.
6,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
7,Anger Shell,"When the Pokémon's HP drops to half or less, it gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
8,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.
9,Arena Trap,Prevents opposing Pokémon from fleeing.
10,Armor Tail,Prevents opposing Pokémon from using priority moves against the target.
11,Aroma Veil,Protects itself and its allies from attacks that limit their move choices.
12,As One,This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s/Spectrier’s Chilling Neigh/Grim Neigh Ability.
13,Aura Break,"The effects of """"Aura"""" Abilities are reversed to lower the power of affected moves."
14,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.
15,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poke Ball from the first failed throw of the battle."
16,Battery,Powers up ally Pokémon's special moves.
17,Battle Armor,Hard armor protects the Pokémon from critical hits.
18,Battle Bond,"When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted."
19,Beads of Ruin,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.
20,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
21,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.
22,Big Pecks,Protects the Pokémon from Defense-lowering effects.
23,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.
24,Bulletproof,Protects the Pokémon from some ball and bomb moves.
25,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.
26,Chilling Neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
27,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.
28,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
29,Cloud Nine,Eliminates the effects of weather.
30,Color Change,The Pokémon's type becomes the type of the move used on it.
31,Comatose,It's always drowsing and will never wake up. It can attack without waking up.
32,Commander,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there. Dondozo can no longer switch out. Dondozo's stats all raise by 2 stages."
33,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.
34,Compound Eyes,The Pokémon's compound eyes boost its accuracy.
35,Contrary,Makes stat changes have an opposite effect.
36,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.
37,Costar,"When the Pokémon enters a battle, it copies an ally's stat changes."
38,Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself."
39,Cud Chew,"When the Pokémon eats a Berry, it will eat it one more time at the end of the next turn."
40,Curious Medicine,"When the Pokémon is brought into battle, any stat alterations of allies are removed."
41,Cursed Body,May disable a move used on the Pokémon.
42,Cute Charm,Contact with the Pokémon may cause infatuation.
43,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings."
44,Dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed."
45,Dark Aura,Powers up each Pokémon's Dark-type moves.
46,Dauntless Shield,Boosts the Pokémon's Defense stat the first time the Pokémon enters a battle.
47,Dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves."
48,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.
49,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.
50,Delta Stream,The Pokémon changes the weather to eliminate all of the Flying type's weaknesses.
51,Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.
52,Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack."
53,Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
54,Dragon's Maw,Powers up Dragon-type moves.
55,Drizzle,The Pokémon makes it rain when it enters a battle.
56,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
57,Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
58,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.
59,Earth Eater,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage."
60,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
61,Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
62,Electromorphosis,"The Pokémon becomes charged when hit by an attack, boosting its next Electric-type move."
63,Emergency Exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less."
64,Fairy Aura,Powers up each Pokémon's Fairy-type moves.
65,Filter,Reduces the power of supereffective attacks taken.
66,Flame Body,Contact with the Pokémon may burn the attacker.
67,Flare Boost,Powers up special attacks when the Pokémon is burned.
68,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.
69,Flower Gift,Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.
70,Flower Veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.
71,Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves."
72,Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
73,Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
74,Friend Guard,Reduces damage done to allies.
75,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item."
76,Full Metal Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
77,Fur Coat,Halves the damage from physical moves.
78,Gale Wings,Gives priority to Flying-type moves when the Pokémon's HP is full.
79,Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
80,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual."
81,Good as Gold,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves."
82,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
83,Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
84,Grass Pelt,Boosts the Pokémon's Defense stat on Grassy Terrain.
85,Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
86,Grim Neigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Special Attack stat."
87,Guard Dog,Boosts the Pokémon's Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.
88,Gulp Missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
89,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.
90,Hadron Engine,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.
91,Harvest,May create another Berry after one is used.
92,Healer,Sometimes heals an ally's status condition.
93,Heatproof,The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.
94,Heavy Metal,Doubles the Pokémon's weight.
95,Honey Gather,The Pokémon may gather Honey after a battle.
96,Hospitality,Restores allies HP upon entering battle.
97,Huge Power,Doubles the Pokémon's Attack stat.
98,Hunger Switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn."
99,Hustle,"Boosts the Attack stat, but lowers accuracy."
100,Hydration,Heals status conditions if it's raining.
101,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.
102,Ice Body,The Pokémon gradually regains HP in a snowstorm.
103,Ice Face,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it hails."
104,Ice Scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves."
105,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
106,Illusion,Comes out disguised as the Pokémon in the party's last spot.
107,Immunity,The immune system of the Pokémon prevents it from getting poisoned.
108,Imposter,The Pokémon transforms itself into the Pokémon it's facing.
109,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes."
110,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
111,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching."
112,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.
113,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
114,Intrepid Sword,Boosts the Pokémon's Attack stat the first time the Pokémon enters a battle.
115,Iron Barbs,Inflicts damage on the attacker upon contact with iron barbs.
116,Iron Fist,Powers up punching moves.
117,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice."
118,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.
119,Klutz,The Pokémon can't use any held items.
120,Leaf Guard,Prevents status conditions in harsh sunlight.
121,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
122,Libero,Changes the Pokémon's type to the type of the move it's about to use.
123,Light Metal,Halves the Pokémon's weight.
124,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk."
125,Limber,Its limber body protects the Pokémon from paralysis.
126,Lingering Aroma,Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.
127,Liquid Ooze,"The oozed liquid has a strong stench, which damages attackers using any draining move."
128,Liquid Voice,All sound-based moves become Water-type moves.
129,Long Reach,The Pokémon uses its moves without making contact with the target.
130,Magic Bounce,Reflects status moves instead of getting hit by them.
131,Magic Guard,The Pokémon only takes damage from attacks.
132,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
133,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen."
134,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.
135,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.
136,Mega Launcher,Powers up aura and pulse moves.
137,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.
138,Mimicry,Changes the Pokémon's type depending on the terrain.
139,Mind's Eye,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves."
140,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
141,Mirror Armor,Bounces back only the stat-lowering effects that the Pokémon receives.
142,Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
143,Mold Breaker,Moves can be used on the target regardless of its Abilities.
144,Moody,Raises one stat sharply and lowers another every turn.
145,Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.
146,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon."
147,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.
148,Multitype,Changes the Pokémon's type to match the Plate or Z-Crystal it holds.
149,Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.
150,Mycelium Might,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target."
151,Natural Cure,All status conditions heal when the Pokémon switches out.
152,Neuroforce,Powers up moves that are super effective.
153,Neutralizing Gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon's Abilities will be nullified or will not be triggered."
154,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
155,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.
156,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
157,Opportunist,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
158,Orichalcum Pulse,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.
159,Overcoat,"Protects the Pokémon from things like sand, hail, and powder."
160,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.
161,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused."
162,Parental Bond,Parent and child each attacks.
163,Pastel Veil,Protects the Pokémon and its ally Pokémon from being poisoned.
164,Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
165,Pickpocket,Steals an item from an attacker that made direct contact.
166,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too."
167,Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.
168,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
169,Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.
170,Poison Point,Contact with the Pokémon may poison the attacker.
171,Poison Puppeteer,Pokémon poisoned by Pecharunt's moves will also become confused.
172,Poison Touch,May poison a target when the Pokémon makes contact.
173,Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.
174,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
175,Power Spot,Just being next to the Pokémon powers up moves.
176,Prankster,Gives priority to a status move.
177,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage."
178,Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.
179,Prism Armor,Reduces the power of supereffective attacks taken.
180,Propeller Tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
181,Protean,Changes the Pokémon's type to the type of the move it's about to use.
182,Protosynthesis,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.
183,Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
184,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.
185,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat."
186,Purifying Salt,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.
187,Quark Drive,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.
188,Queenly Majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves."
189,Quick Draw,Enables the Pokémon to move first occasionally.
190,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.
191,Rain Dish,The Pokémon gradually regains HP in rain.
192,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat."
193,Receiver,The Pokémon copies the Ability of a defeated ally.
194,Reckless,Powers up moves that have recoil damage.
195,Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.
196,Regenerator,Restores a little HP when withdrawn from battle.
197,Ripen,Ripens Berries and doubles their effect.
198,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender."
199,RKS System,Changes the Pokémon's type to match the memory disc it holds.
200,Rock Head,Protects the Pokémon from recoil damage.
201,Rocky Payload,Powers up Rock-type moves.
202,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.
203,Run Away,Enables a sure getaway from wild Pokémon.
204,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm."
205,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.
206,Sand Spit,The Pokémon creates a sandstorm when it's hit by an attack.
207,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.
208,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.
209,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.
210,Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.  Doesn't work until Level 20."
211,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.
212,Screen Cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon."
213,Seed Sower,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
214,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.
215,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.
216,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.
217,Sharpness,Powers up slicing moves.
218,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.
219,Sheer Force,Removes additional effects to increase the power of moves when attacking.
220,Shell Armor,A hard shell protects the Pokémon from critical hits.
221,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.
222,Shields Down,"When its HP becomes half or less, the Pokémon's shell breaks and it becomes aggressive."
223,Simple,The stat changes the Pokémon receives are doubled.
224,Skill Link,Maximizes the number of times multistrike moves hit.
225,Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved."
226,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.
227,Sniper,Powers up moves if they become critical hits when attacking.
228,Snow Cloak,Boosts evasiveness in a hailstorm.
229,Snow Warning,The Pokémon makes it snow when it enters a battle.
230,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn."
231,Solid Rock,Reduces the power of supereffective attacks taken.
232,Soul-Heart,Boosts its Sp. Atk stat every time a Pokémon faints.
233,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.
234,Speed Boost,Its Speed stat is boosted every turn.
235,Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.
236,Stall,The Pokémon moves after all other Pokémon do.
237,Stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
238,Stamina,Boosts the Defense stat when hit by an attack.
239,Stance Change,The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King's Shield.
240,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
241,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.
242,Steam Engine,Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.
243,Steelworker,Powers up Steel-type moves.
244,Steely Spirit,Powers up ally Pokémon's Steel-type moves.
245,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
246,Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.
247,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk."
248,Strong Jaw,The Pokémon's strong jaw boosts the power of its biting moves.
249,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
250,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
251,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
252,Supersweet Syrup,"The scent of the Pokemon's syrup spreads across the battlefield, lowering the evasiveness of opposing Pokémon."
253,Supreme Overload,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated."
254,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.
255,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.
256,Sweet Veil,Prevents itself and ally Pokémon from falling asleep.
257,Swift Swim,Boosts the Pokémon's Speed stat in rain.
258,Sword of Ruin,The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself.
259,Symbiosis,The Pokémon passes its item to an ally that has used up an item.
260,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
261,Tablets of Ruin,The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.
262,Tangled Feet,Raises evasiveness if the Pokémon is confused.
263,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.
264,Technician,Powers up the Pokémon's weaker moves.
265,Telepathy,Anticipates an ally's attack and dodges it.
266,Tera Shell,The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.
267,Tera Shift,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form."
268,Teraform Zero,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero."
269,Teravolt,Moves can be used on the target regardless of its Abilities.
270,Thermal Exchange,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.
271,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
272,Tinted Lens,"The Pokémon can use """"not very effective"""" moves to deal regular damage."
273,Torrent,Powers up Water-type moves when the Pokémon's HP is low.
274,Tough Claws,Powers up moves that make direct contact.
275,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.
276,Toxic Chain,May badly poison the opponent when the user lands a move against them.
277,Toxic Debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
278,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability."
279,Transistor,Powers up Electric-type moves.
280,Triage,Gives priority to a healing move.
281,Truant,The Pokémon can't use a move if it had used a move on the previous turn.
282,Turboblaze,Moves can be used on the target regardless of its Abilities.
283,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes."
284,Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.
285,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.
286,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected."
287,Vessel of Ruin,The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.
288,Victory Star,Boosts the accuracy of its allies and itself.
289,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep."
290,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.
291,Wandering Spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.
292,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.
293,Water Bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.
294,Water Compaction,Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.
295,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn."
296,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.
297,Well-Baked Body,"Game's Text: The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted."
298,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
299,Wimp Out,The Pokémon cowardly switches out when its HP becomes half or less.
300,Wind Power,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses."
301,Wind Rider,Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.
302,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.
303,Wonder Skin,Makes status moves more likely to miss.
304,Zen Mode,Changes the Pokémon's shape when HP is half or less.
305,Zero to Hero,The Pokémon transforms into its Hero Form when it switches out.
